fecha,hora,timestamp_unix,camara_id,lugar,total_personas,ids_detectados,frame_numero,fps_video
2026-05-01,18:02:28,1777676547.742,CAM-01,Pasillo,12,"20,21,25,45,34,17,58,19,26,23,64,18",63,30.00
2026-05-01,18:02:28,1777676548.201,CAM-03,Caja,3,"12,15,14",66,12.00
2026-05-01,18:02:28,1777676548.231,CAM-02,Entrada,10,"1,2,3,4,5,6,7,11,50,59",67,13.09
2026-05-01,18:02:29,1777676548.810,CAM-01,Pasillo,13,"20,21,25,45,34,17,58,19,26,23,64,18,71",66,30.00
2026-05-01,18:02:29,1777676549.298,CAM-02,Entrada,9,"1,2,3,4,5,7,11,59,6",70,13.09
2026-05-01,18:02:29,1777676549.498,CAM-03,Caja,3,"12,15,14",70,12.00
2026-05-01,18:02:30,1777676549.879,CAM-01,Pasillo,12,"20,21,45,34,58,19,26,23,64,18,74,76",69,30.00
2026-05-01,18:02:30,1777676550.382,CAM-02,Entrada,9,"1,2,3,4,5,7,11,59,78",73,13.09
2026-05-01,18:02:31,1777676550.828,CAM-03,Caja,3,"12,15,14",74,12.00
2026-05-01,18:02:31,1777676550.956,CAM-01,Pasillo,13,"20,21,45,34,58,19,26,23,64,18,76,25,74",72,30.00
2026-05-01,18:02:31,1777676551.464,CAM-02,Entrada,10,"1,2,3,4,5,7,11,59,82,78",76,13.09
2026-05-01,18:02:32,1777676552.018,CAM-01,Pasillo,12,"20,21,45,34,58,19,26,23,18,76,74,25",75,30.00
2026-05-01,18:02:32,1777676552.140,CAM-03,Caja,5,"12,15,14,81,83",78,12.00
2026-05-01,18:02:32,1777676552.558,CAM-02,Entrada,8,"1,2,3,4,5,7,11,59",79,13.09
2026-05-01,18:02:33,1777676553.096,CAM-01,Pasillo,13,"20,21,45,34,58,19,26,23,18,76,74,25,87",78,30.00
2026-05-01,18:02:33,1777676553.447,CAM-03,Caja,4,"12,15,14,81",82,12.00
2026-05-01,18:02:33,1777676553.626,CAM-02,Entrada,11,"1,2,3,4,5,7,59,88,82,75,78",82,13.09
2026-05-01,18:02:34,1777676554.194,CAM-01,Pasillo,14,"20,21,45,34,58,19,26,23,18,76,74,25,87,90",81,30.00
2026-05-01,18:02:35,1777676554.681,CAM-02,Entrada,11,"1,2,3,4,5,7,59,88,82,75,78",85,13.09
2026-05-01,18:02:35,1777676554.753,CAM-03,Caja,6,"12,15,14,81,83,89",86,12.00
2026-05-01,18:02:35,1777676555.247,CAM-01,Pasillo,16,"20,21,45,34,58,19,26,23,18,76,25,87,90,71,64,86",84,30.00
2026-05-01,18:02:36,1777676555.753,CAM-03,Caja,7,"12,15,14,81,83,89,72",89,12.00
2026-05-01,18:02:36,1777676555.740,CAM-02,Entrada,11,"1,2,3,4,5,7,59,88,75,84,78",88,13.09
2026-05-01,18:02:36,1777676556.302,CAM-01,Pasillo,14,"20,21,45,34,58,19,26,23,25,87,90,71,86,74",87,30.00
2026-05-01,18:02:37,1777676556.763,CAM-03,Caja,5,"12,15,14,81,83",92,12.00
